SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000002,2026-01-02 10:14:00,2026-01-03,CITY RIDE,completed ride,-864,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000002,TERM-1002,counterparty-02,7498409,household account; completed ride; statement export,PROVIDER-2026-00000002,2
TX-000003,2026-01-03 11:21:00,2026-01-04,RIVER PAY,online order,-1001,RUB,4403,qr,posted,services.digital,RU,5812,AUTH-0000000003,TERM-1003,counterparty-03,7497408,household account; online order; statement export,PROVIDER-2026-00000003,3
TX-000004,2026-01-04 12:28:00,2026-01-05,NORTH CAFE,coffee and lunch,-1138,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000004,TERM-1004,counterparty-04,7496270,household account; coffee and lunch; statement export,PROVIDER-2026-00000004,0
TX-000005,2026-01-05 13:35:00,2026-01-06,MEDI-CORNER,pharmacy goods,-1275,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000005,TERM-1005,counterparty-05,7494995,household account; pharmacy goods; statement export,PROVIDER-2026-00000005,1
TX-000006,2026-01-06 14:42:00,2026-01-07,STREAM BOX,monthly subscription,-1412,RUB,4406,qr,posted,services.digital,RU,4899,AUTH-0000000006,TERM-1006,counterparty-06,7493583,household account; monthly subscription; statement export,PROVIDER-2026-00000006,2
TX-000007,2026-01-07 15:49:00,2026-01-08,GREEN MARKET,fresh food,-1549,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000007,TERM-1007,counterparty-07,7492034,household account; fresh food; statement export,PROVIDER-2026-00000007,3
TX-000008,2026-01-08 16:56:00,2026-01-09,BOOK HOUSE,books and stationery,-1686,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000008,TERM-1008,counterparty-08,7490348,household account; books and stationery; statement export,PROVIDER-2026-00000008,0
TX-000009,2026-01-09 17:03:00,2026-01-10,NOVA MARKET,groceries,-1823,RUB,4409,qr,posted,food.groceries,RU,5311,AUTH-0000000009,TERM-1009,counterparty-09,7488525,household account; groceries; statement export,PROVIDER-2026-00000009,1
TX-000010,2026-01-10 18:10:00,2026-01-11,CITY RIDE,completed ride,-1960,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000010,TERM-1010,counterparty-10,7486565,household account; completed ride; statement export,PROVIDER-2026-00000010,2
TX-000011,2026-01-11 19:17:00,2026-01-12,RIVER PAY,online order,-2097,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000011,TERM-1011,counterparty-11,7484468,household account; online order; statement export,PROVIDER-2026-00000011,3
TX-000012,2026-01-12 08:24:00,2026-01-13,NORTH CAFE,coffee and lunch,-2234,RUB,4402,qr,posted,food.cafe,RU,5814,AUTH-0000000012,TERM-1012,counterparty-12,7482234,household account; coffee and lunch; statement export,PROVIDER-2026-00000012,0
TX-000013,2026-01-13 09:31:00,2026-01-14,MEDI-CORNER,pharmacy goods,-2371,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000013,TERM-1013,counterparty-13,7479863,household account; pharmacy goods; statement export,PROVIDER-2026-00000013,1
TX-000014,2026-01-14 10:38:00,2026-01-15,STREAM BOX,monthly subscription,-2508,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000014,TERM-1014,counterparty-14,7477355,household account; monthly subscription; statement export,PROVIDER-2026-00000014,2
TX-000015,2026-01-15 11:45:00,2026-01-16,GREEN MARKET,fresh food,-2645,RUB,4405,qr,posted,food.groceries,RU,5411,AUTH-0000000015,TERM-1015,counterparty-15,7474710,household account; fresh food; statement export,PROVIDER-2026-00000015,3
TX-000016,2026-01-16 12:52:00,2026-01-17,BOOK HOUSE,books and stationery,-2782,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000016,TERM-1016,counterparty-16,7471928,household account; books and stationery; statement export,PROVIDER-2026-00000016,0
TX-000017,2026-01-17 13:59:00,2026-01-18,NOVA MARKET,groceries,-2919,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000017,TERM-1017,counterparty-17,7469009,household account; groceries; statement export,PROVIDER-2026-00000017,1
TX-000018,2026-01-18 14:06:00,2026-01-19,CITY RIDE,completed ride,-3056,RUB,4408,qr,posted,transport,RU,4121,AUTH-0000000018,TERM-1018,counterparty-18,7465953,household account; completed ride; statement export,PROVIDER-2026-00000018,2
TX-000019,2026-01-19 15:13:00,2026-01-20,RIVER PAY,online order,-3193,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000019,TERM-1019,counterparty-19,7462760,household account; online order; statement export,PROVIDER-2026-00000019,3
TX-000020,2026-01-20 16:20:00,2026-01-21,NORTH CAFE,coffee and lunch,-3330,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000020,TERM-1020,counterparty-20,7459430,household account; coffee and lunch; statement export,PROVIDER-2026-00000020,0
TX-000021,2026-01-21 17:27:00,2026-01-22,MEDI-CORNER,pharmacy goods,-3467,RUB,4401,qr,posted,health.pharmacy,RU,5912,AUTH-0000000021,TERM-1021,counterparty-21,7455963,household account; pharmacy goods; statement export,PROVIDER-2026-00000021,1
TX-000022,2026-01-22 18:34:00,2026-01-23,STREAM BOX,monthly subscription,-3604,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000022,TERM-1022,counterparty-22,7452359,household account; monthly subscription; statement export,PROVIDER-2026-00000022,2
TX-000023,2026-01-23 19:41:00,2026-01-24,GREEN MARKET,fresh food,-3741,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000023,TERM-1023,counterparty-23,7448618,household account; fresh food; statement export,PROVIDER-2026-00000023,3
TX-000024,2026-01-24 08:48:00,2026-01-25,BOOK HOUSE,books and stationery,-3878,RUB,4404,qr,posted,unknown,RU,5942,AUTH-0000000024,TERM-1024,counterparty-24,7444740,household account; books and stationery; statement export,PROVIDER-2026-00000024,0
TX-000025,2026-01-25 09:55:00,2026-01-26,NOVA MARKET,groceries,-4015,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000025,TERM-1025,counterparty-25,7440725,household account; groceries; statement export,PROVIDER-2026-00000025,1
TX-000026,2026-01-26 10:02:00,2026-01-27,CITY RIDE,completed ride,-4152,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000026,TERM-1026,counterparty-26,7436573,household account; completed ride; statement export,PROVIDER-2026-00000026,2
TX-000027,2026-01-27 11:09:00,2026-01-28,RIVER PAY,online order,-4289,RUB,4407,qr,posted,services.digital,RU,5812,AUTH-0000000027,TERM-1027,counterparty-27,7432284,household account; online order; statement export,PROVIDER-2026-00000027,3
TX-000028,2026-01-28 12:16:00,2026-01-29,NORTH CAFE,coffee and lunch,-4426,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000028,TERM-1028,counterparty-28,7427858,household account; coffee and lunch; statement export,PROVIDER-2026-00000028,0
TX-000029,2026-01-29 13:23:00,2026-01-30,MEDI-CORNER,pharmacy goods,-4563,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000029,TERM-1029,counterparty-29,7423295,household account; pharmacy goods; statement export,PROVIDER-2026-00000029,1
