СИНТЕТИЧЕСКАЯ БАНКОВСКАЯ ВЫПИСКА
Период: 2026-03-01 — 2026-03-31
Источник: synthetic household account export
Каждая строка ниже — одна банковская операция.

transaction_id | occurred_at | posted_at | merchant | description | amount | currency | card_last4 | channel | status | source_category | merchant_country | mcc | authorization_code | terminal_id | counterparty | balance_after | payment_purpose | provider_reference | cashback_minor | merchant_address | merchant_location | payment_instrument | exchange_rate | fee_minor | settlement_reference | accounting_note
TX-001 | 2026-03-01 09:07 | 2026-03-02 | NOVA MARKET | продукты и молоко | -1250.00 | RUB | 4405 | card | posted | food.groceries | RU | 5301 | AUTH-00000001 | TERM-101 | counterparty-01 | 4874996.83 | household; продукты и молоко; monthly export | 125 | RU-MOW-101 | Москва, район 2, точка обслуживания 2 | debit-card | 1.000000 | 1 | SETTLE-202603-000001 | synthetic export; settlement completed; no manual override
TX-002 | 2026-03-02 10:14 | 2026-03-03 | NOVA CAFE | кофе и выпечка | -490.00 | RUB | 4406 | card | posted | food.cafe | RU | 5302 | AUTH-00000002 | TERM-102 | counterparty-02 | 4950993.66 | household; кофе и выпечка; monthly export | 49 | RU-MOW-102 | Москва, район 3, точка обслуживания 3 | debit-card | 1.000000 | 2 | SETTLE-202603-000002 | synthetic export; settlement completed; no manual override
TX-003 | 2026-03-03 11:21 | 2026-03-04 | RIVER PAY | оплата по QR | -1299.00 | RUB | 4407 | qr | posted | services.digital | RU | 5303 | AUTH-00000003 | TERM-103 | counterparty-03 | 4870090.49 | household; оплата по QR; monthly export | 129 | RU-MOW-103 | Москва, район 4, точка обслуживания 4 | instant-qr | 1.000000 | 0 | SETTLE-202603-000003 | synthetic export; settlement completed; no manual override
TX-004 | 2026-03-04 12:28 | 2026-03-05 | CITY RIDE | поездка завершена | -185.00 | RUB | 4408 | card | posted | transport | RU | 5304 | AUTH-00000004 | TERM-104 | counterparty-04 | 4981487.32 | household; поездка завершена; monthly export | 18 | RU-MOW-104 | Москва, район 5, точка обслуживания 5 | debit-card | 1.000000 | 1 | SETTLE-202603-000004 | synthetic export; settlement completed; no manual override
TX-005 | 2026-03-05 13:35 | 2026-03-06 | MEDI-CORNER | витамины | -1780.50 | RUB | 4409 | card | posted | health.pharmacy | RU | 5305 | AUTH-00000005 | TERM-105 | counterparty-05 | 4821934.15 | household; витамины; monthly export | 178 | RU-MOW-105 | Москва, район 6, точка обслуживания 6 | debit-card | 1.000000 | 2 | SETTLE-202603-000005 | synthetic export; settlement completed; no manual override
TX-006 | 2026-03-06 14:42 | 2026-03-07 | GREEN MARKET | овощи и фрукты | -1250.50 | RUB | 4404 | qr | posted | food.groceries | RU | 5306 | AUTH-00000006 | TERM-106 | counterparty-06 | 4874930.98 | household; овощи и фрукты; monthly export | 125 | RU-MOW-106 | Москва, район 7, точка обслуживания 7 | instant-qr | 1.000000 | 0 | SETTLE-202603-000006 | synthetic export; settlement completed; no manual override
TX-007 | 2026-03-07 15:49 | 2026-03-08 | STREAM BOX | подписка за месяц | -799.00 | RUB | 4405 | card | posted | services.digital | RU | 5307 | AUTH-00000007 | TERM-107 | counterparty-07 | 4920077.81 | household; подписка за месяц; monthly export | 79 | RU-MOW-107 | Москва, район 8, точка обслуживания 8 | debit-card | 1.000000 | 1 | SETTLE-202603-000007 | synthetic export; settlement completed; no manual override
TX-008 | 2026-03-08 16:56 | 2026-03-09 | NORTH CAFE | завтрак | -720.00 | RUB | 4406 | card | posted | food.cafe | RU | 5300 | AUTH-00000008 | TERM-108 | counterparty-08 | 4927974.64 | household; завтрак; monthly export | 72 | RU-MOW-108 | Москва, район 1, точка обслуживания 9 | debit-card | 1.000000 | 2 | SETTLE-202603-000008 | synthetic export; settlement completed; no manual override
TX-009 | 2026-03-09 17:03 | 2026-03-10 | CITY RIDE | поездка завершена | -92.00 | RUB | 4407 | qr | posted | transport | RU | 5301 | AUTH-00000009 | TERM-109 | counterparty-00 | 4990771.47 | household; поездка завершена; monthly export | 9 | RU-MOW-109 | Москва, район 2, точка обслуживания 10 | instant-qr | 1.000000 | 0 | SETTLE-202603-000009 | synthetic export; settlement completed; no manual override
TX-010 | 2026-03-10 08:10 | 2026-03-11 | RIVER PAY | возврат части заказа | 650.00 | RUB | 4408 | card | posted | unknown | RU | 5302 | AUTH-00000010 | TERM-110 | counterparty-01 | 5064968.30 | household; возврат части заказа; monthly export | 65 | RU-MOW-110 | Москва, район 3, точка обслуживания 11 | debit-card | 1.000000 | 1 | SETTLE-202603-000010 | synthetic export; settlement completed; no manual override
TX-011 | 2026-03-11 09:17 | 2026-03-12 | TRANSFER OWN | между своими счетами | 10000.00 | RUB | 4409 | card | posted | transfer.internal | RU | 5303 | AUTH-00000011 | TERM-111 | counterparty-02 | 5999965.13 | household; между своими счетами; monthly export | 1000 | RU-MOW-111 | Москва, район 4, точка обслуживания 12 | debit-card | 1.000000 | 2 | SETTLE-202603-000011 | synthetic export; settlement completed; no manual override
